CODIGO;ISC;ICAR004
1101;2262;216514
1107;573;124150
1401;13766;16683
1402;2200;1345
1403;4016;1556
1404;10475;2914
1405;8934;5744
2101;30718;410618
2102;3804;14143
2103;12886;1690
2104;20405;13371
2201;15597;184036
2202;2964;284
2203;23439;10013
2301;4039;27659
2302;12197;6749
3101;16681;169528
3102;4667;19149
3103;11191;14187
3201;5772;13123
3202;18664;14408
3301;7084;56544
3302;5939;5677
3303;3578;7589
3304;1601;11102
4101;1893;244170
4102;1429;250947
4103;310;11730
4104;4158;4408
4105;1495;4645
4106;7610;29402
4201;2629;32610
4202;2197;9516
4203;1861;23011
4204;3445;28772
4301;3835;119936
4302;1896;13834
4303;4366;32352
4304;1339;12021
4305;2117;4372
5101;402;313185
5102;953;28722
5103;76;45121
5104;148;1010
5105;300;19688
5107;148;35341
5109;122;357228
5201;164;8073
5301;1248;67583
5302;322;16107
5303;123;11010
5304;1362;20276
5401;1163;37411
5402;1455;20554
5403;166;6118
5404;1517;10495
5405;288;7866
5501;302;96310
5502;61;53298
5503;267;18924
5504;78;24564
5506;405;23356
5601;405;95946
5602;176;14863
5603;246;24832
5604;51;17367
5605;99;14038
5606;536;11703
5701;186;82312
5702;362;15023
5703;349;26232
5704;122;7553
5705;1474;17471
5706;166;16150
5801;537;164783
5802;294;49285
5803;232;18946
5804;97;136711
6101;260;261992
6102;287;13914
6103;98;7753
6104;225;20971
6105;78;22385
6106;113;35950
6107;749;26403
6108;2586;58398
6109;113;14081
6110;524;27100
6111;45;14480
6112;153;14882
6113;320;20581
6114;93;13727
6115;592;62958
6116;673;29922
6117;476;50016
6201;749;17584
6202;435;3107
6203;619;6694
6204;660;7581
6205;300;6818
6206;562;6353
6301;2441;77763
6302;503;15816
6303;498;37386
6304;597;7227
6305;111;18934
6306;237;13169
6307;283;11725
6308;147;9093
6309;441;3531
6310;420;40574
7101;232;234717
7102;1344;50148
7103;1074;9477
7104;565;4204
7105;238;57447
7106;332;8979
7107;957;8571
7108;431;14623
7109;4504;45755
7110;264;9825
7201;2126;43962
7202;530;9327
7203;371;7983
7301;1328;161223
7302;629;10196
7303;273;6973
7304;1552;49109
7305;309;11094
7306;1597;15946
7307;549;19348
7308;618;30519
7309;426;4390
7401;1466;100077
7402;2900;22279
7403;1454;32516
7404;1638;44172
7405;827;20913
7406;1313;48830
7407;190;17339
7408;262;19005
8101;222;237257
8102;279;124753
8103;72;90815
8104;609;11813
8105;531;25997
8106;136;45791
8107;108;49700
8108;113;143458
8109;731;14723
8110;92;158203
8111;495;58516
8112;54;96894
8201;561;27042
8202;956;38545
8203;760;36822
8204;962;6313
8205;994;33826
8206;599;22374
8207;624;10975
8301;1748;216695
8302;1884;4291
8303;640;30564
8304;340;23823
8305;1925;30973
8306;935;27880
8307;157;10372
8308;1124;4177
8309;1122;10031
8310;92;3619
8311;1255;14551
8312;915;15119
8313;727;22072
8314;2125;6760
9101;464;300618
9102;1341;25444
9103;1907;18030
9104;1171;7767
9105;935;25391
9106;568;12630
9107;695;15144
9108;901;40376
9109;977;24684
9110;1107;6239
9111;733;33614
9112;401;81101
9113;331;7197
9114;581;25916
9115;1249;29469
9116;401;12812
9117;650;15771
9118;860;10075
9119;1421;30253
9120;1291;58574
9121;428;12237
9201;1194;55761
9202;1296;25996
9203;1664;18137
9204;500;8468
9205;3914;11014
9206;850;7516
9207;1119;10076
9208;465;12192
9209;267;10764
9210;908;19306
9211;1256;35393
10101;1673;265863
10102;591;36442
10103;3911;4016
10104;1278;12660
10105;831;20034
10106;1246;17786
10107;421;18525
10108;861;14917
10109;4065;47845
10201;473;47214
10202;1752;42379
10203;1362;15909
10204;80;4041
10205;1239;14944
10206;97;4199
10207;333;5534
10208;3244;29043
10209;440;8780
10210;161;8320
10301;951;172336
10302;1796;9216
10303;1459;21081
10304;1598;11760
10305;1266;14303
10306;1517;7690
10307;637;10547
10401;8471;5001
10402;1280;2770
10403;2788;9487
10404;2764;1822
11101;Sin dato oficial;60822
11102;Sin dato oficial;919
11201;Sin dato oficial;24880
11202;Sin dato oficial;5801
11203;Sin dato oficial;1591
11301;Sin dato oficial;3660
11302;Sin dato oficial;655
11303;Sin dato oficial;567
11401;Sin dato oficial;5096
11402;Sin dato oficial;2689
12101;17846;140132
12102;3696;266
12103;17248;213
12104;6884;686
12201;21551;1976
12301;9707;7190
12302;6530;696
12303;10759;283
12401;49924;23413
12402;6630;998
13101;22;486838
13102;21;88016
13103;11;141402
13104;11;137162
13105;14;171487
13106;14;186426
13107;45;109630
13108;7;129691
13109;10;98790
13110;71;396781
13111;10;122454
13112;31;188748
13113;23;99033
13114;99;323309
13115;1024;119240
13116;7;103643
13117;7;103111
13118;13;130467
13119;133;566664
13120;17;240753
13121;10;107205
13122;54;262268
13123;14;154446
13124;197;248347
13125;58;243112
13126;12;130284
13127;16;182088
13128;24;158717
13129;10;102027
13130;10;126088
13131;7;86521
13132;28;94020
13201;88;629743
13202;445;29616
13203;4995;18275
13301;971;173119
13302;452;121528
13303;653;21066
13401;155;329121
13402;214;106986
13403;73;27913
13404;678;80711
13501;1345;138793
13502;845;7214
13503;693;35720
13504;395;14708
13505;788;11706
13601;126;80489
13602;118;39296
13603;189;39433
13604;81;71852
13605;69;99142
14101;1016;175117
14102;767;5444
14103;532;17524
14104;1791;20488
14105;583;7380
14106;1321;23016
14107;896;20725
14108;3292;35870
14201;2137;39446
14202;2121;15255
14203;1763;10281
14204;2212;32867
15101;4799;242510
15102;3927;1228
15201;5903;2493
15202;2244;805
16101;511;196853
16102;425;22520
16103;292;33291
16104;664;12348
16105;563;8640
16106;1164;11781
16107;423;18604
16108;364;16598
16109;824;18499
16201;589;12155
16202;570;5281
16203;342;16800
16204;401;5421
16205;282;4950
16206;248;6238
16207;313;5667
16301;874;55935
16302;1777;28147
16303;493;11556
16304;1568;4607
16305;491;12068